t [s],a [m/s^2]
0.00,9.81
1.00,9.37
2.00,8.14
3.00,6.43
4.00,4.65
5.00,3.13
6.00,1.99
7.00,1.23
8.00,0.74
9.00,0.43
10.00,0.25
